,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,Close,High,High,High,High,High,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume
,BA,DAL,HON,TRI,UNP,BA,DAL,HON,TRI,UNP,BA,DAL,HON,TRI,UNP,BA,DAL,HON,TRI,UNP,BA,DAL,HON,TRI,UNP,BA,DAL,HON,TRI,UNP
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-12-30,324.4695129394531,58.257911682128906,175.4702606201172,71.14322662353516,179.09573364257812,326.3999938964844,58.65999984741211,176.4199981689453,71.48999786376953,180.14999389648438,330.6300048828125,59.29999923706055,177.0,71.87000274658203,181.3800048828125,325.7099914550781,58.2400016784668,175.75999450683594,71.0999984741211,179.60000610351562,330.5,59.25,176.55999755859375,71.86000061035156,181.14999389648438,4525500,3779300,1670100,289800,1493000
2019-12-31,323.83331298828125,58.07914733886719,176.04713439941406,71.25269317626953,179.7319793701172,325.760009765625,58.47999954223633,177.0,71.5999984741211,180.7899932861328,326.57000732421875,58.72999954223633,177.0800018310547,71.66000366210938,181.25999450683594,323.32000732421875,58.34000015258789,175.4600067138672,71.05000305175781,179.5399932861328,325.4100036621094,58.4900016784668,176.4600067138672,71.37999725341797,179.9600067138672,4958800,2917300,1728900,312900,1588800
2020-01-02,331.34857177734375,58.63530731201172,179.8167266845703,71.81993103027344,181.2033233642578,333.32000732421875,59.040000915527344,180.7899932861328,72.16999816894531,182.27000427246094,333.3500061035156,59.38999938964844,180.8000030517578,72.18000030517578,182.3800048828125,327.70001220703125,58.45000076293945,177.13999938964844,71.55999755859375,179.97000122070312,328.54998779296875,58.93000030517578,177.5,71.61000061035156,180.9499969482422,4544400,4459200,2857400,293200,2444800
2020-01-03,330.7919006347656,57.662025451660156,177.89712524414062,72.24784088134766,179.92086791992188,332.760009765625,58.060001373291016,178.86000061035156,72.5999984741211,180.97999572753906,334.8900146484375,58.119998931884766,179.8300018310547,72.94000244140625,181.19000244140625,330.29998779296875,56.90999984741211,177.41000366210938,71.55999755859375,178.2899932861328,330.6300048828125,57.5,178.33999633789062,71.62000274658203,179.5399932861328,3875900,9078100,2805200,286500,2344200
2020-01-06,331.7660827636719,57.264766693115234,176.55438232421875,72.99420166015625,178.37994384765625,333.739990234375,57.65999984741211,177.50999450683594,73.3499984741211,179.42999267578125,334.8599853515625,57.7599983215332,178.3800048828125,73.38999938964844,180.0800018310547,327.8800048828125,56.65999984741211,176.92999267578125,72.19000244140625,177.94000244140625,329.29998779296875,56.9900016784668,177.83999633789062,72.30000305175781,179.6999969482422,5355000,5504300,3277900,454300,3142500
2020-01-07,335.28515625,57.215110778808594,176.6538543701172,73.3226089477539,177.0279083251953,337.2799987792969,57.61000061035156,177.61000061035156,73.68000030517578,178.07000732421875,344.19000244140625,58.06999969482422,178.07000732421875,73.98999786376953,179.5800018310547,330.7099914550781,57.470001220703125,175.58999633789062,72.9800033569336,177.61000061035156,334.260009765625,57.90999984741211,177.3699951171875,73.37999725341797,179.22999572753906,9898600,5563000,3002800,281600,4096400
2020-01-08,329.41009521484375,58.44660949707031,176.80303955078125,73.96945190429688,178.96649169921875,331.3699951171875,58.849998474121094,177.75999450683594,74.33000183105469,180.02000427246094,334.0299987792969,59.400001525878906,179.10000610351562,75.08000183105469,181.0500030517578,329.6000061035156,57.72999954223633,176.72999572753906,73.63999938964844,177.47999572753906,332.3999938964844,57.75,177.6699981689453,73.76000213623047,177.88999938964844,8239200,8519000,2545500,367500,2817500
2020-01-09,334.3507080078125,58.55585479736328,178.1060028076172,74.96460723876953,178.0518798828125,336.3399963378906,58.959999084472656,179.07000732421875,75.33000183105469,179.10000610351562,341.7300109863281,59.470001220703125,179.42999267578125,75.44000244140625,180.8300018310547,332.04998779296875,58.58000183105469,178.05999755859375,74.33999633789062,178.57000732421875,334.95001220703125,59.2599983215332,178.6999969482422,74.52999877929688,180.50999450683594,8175600,5336700,1789500,432800,3311100
2020-01-10,327.96868896484375,58.83393859863281,177.71807861328125,74.69590759277344,176.89866638183594,329.9200134277344,59.2400016784668,178.67999267578125,75.05999755859375,177.94000244140625,337.70001220703125,59.4900016784668,179.89999389648438,75.72000122070312,179.92999267578125,329.45001220703125,58.619998931884766,178.13999938964844,75.05000305175781,177.82000732421875,335.55999755859375,59.25,179.89999389648438,75.55999755859375,179.10000610351562,7161700,8279700,1671700,335000,2944300
2020-01-13,328.26690673828125,59.08222579956055,180.2941436767578,75.8204345703125,178.84718322753906,330.2200012207031,59.4900016784668,181.27000427246094,76.19000244140625,179.89999389648438,334.1000061035156,59.70000076293945,181.33999633789062,76.20999908447266,179.99000549316406,330.0799865722656,59.029998779296875,178.69000244140625,74.88999938964844,177.63999938964844,332.3999938964844,59.029998779296875,179.25,75.20999908447266,177.99000549316406,5648500,8414200,2261900,397900,2035200
2020-01-14,330.3843078613281,61.02878952026367,179.4785614013672,76.26824951171875,179.74192810058594,332.3500061035156,61.45000076293945,180.4499969482422,76.63999938964844,180.8000030517578,335.3500061035156,62.25,181.22000122070312,76.91000366210938,182.72999572753906,328.2799987792969,60.86000061035156,179.50999450683594,75.94000244140625,180.14999389648438,330.760009765625,62.040000915527344,180.49000549316406,76.08999633789062,180.5,6945300,16454100,2191200,970400,2805900
2020-01-15,327.8493957519531,61.19762420654297,179.75704956054688,76.99471282958984,179.74192810058594,329.79998779296875,61.619998931884766,180.72999572753906,77.37000274658203,180.8000030517578,333.1099853515625,61.939998626708984,182.44000244140625,77.62999725341797,182.4199981689453,329.69000244140625,61.029998779296875,179.85000610351562,76.70999908447266,180.6300048828125,332.3500061035156,61.540000915527344,181.2899932861328,76.75,181.6300048828125,4578300,7953400,2600800,673500,3450700
2020-01-16,330.036376953125,61.455841064453125,181.27880859375,78.258544921875,182.8237762451172,332.0,61.880001068115234,182.25999450683594,78.63999938964844,183.89999389648438,332.8699951171875,62.47999954223633,182.49000549316406,78.69999694824219,184.1699981689453,329.30999755859375,61.630001068115234,180.7899932861328,77.5199966430664,180.91000366210938,331.04998779296875,62.060001373291016,181.5,77.94999694824219,181.55999755859375,4024100,4950300,2215400,804200,3227400
2020-01-17,322.2328186035156,61.60481262207031,182.24359130859375,78.57699584960938,184.23548889160156,324.1499938964844,62.029998779296875,183.22999572753906,78.95999908447266,185.32000732421875,332.5,62.47999954223633,184.05999755859375,79.04000091552734,185.64999389648438,323.0,61.869998931884766,182.52999877929688,78.37000274658203,183.0,332.3900146484375,62.130001068115234,182.86000061035156,78.51000213623047,183.67999267578125,11061700,5770000,2608000,390600,4008600
2020-01-21,311.5165710449219,59.92639923095703,179.95596313476562,78.49738311767578,181.39222717285156,313.3699951171875,60.34000015258789,180.92999267578125,78.87999725341797,182.4600067138672,326.6000061035156,61.61000061035156,183.3000030517578,79.05999755859375,184.52999877929688,305.75,58.43000030517578,180.47000122070312,78.5,181.1199951171875,322.6000061035156,61.25,183.0399932861328,79.02999877929688,184.16000366210938,19318000,16592000,2188600,396000,3440900
2020-01-22,307.17242431640625,59.23119354248047,179.08071899414062,78.40782165527344,179.87115478515625,309.0,59.63999938964844,180.0500030517578,78.79000091552734,180.92999267578125,312.8399963378906,60.720001220703125,181.8800048828125,79.54000091552734,183.41000366210938,302.7200012207031,59.560001373291016,179.80999755859375,78.6500015258789,180.44000244140625,309.82000732421875,60.630001068115234,181.55999755859375,79.0,183.27000427246094,18792600,7096400,1881700,442100,2993900
2020-01-23,315.9104309082031,59.856876373291016,178.61325073242188,78.3879165649414,186.09454345703125,317.7900085449219,60.27000045776367,179.5800018310547,78.7699966430664,187.19000244140625,318.1700134277344,60.380001068115234,180.5399932861328,79.23999786376953,187.67999267578125,307.70001220703125,58.189998626708984,179.02999877929688,78.33000183105469,180.92999267578125,308.5,59.189998626708984,179.80999755859375,78.69000244140625,183.5,9702100,7774500,2434000,612600,4950500
2020-01-24,321.1393127441406,58.40688705444336,176.1764373779297,78.76607513427734,184.59336853027344,323.04998779296875,58.810001373291016,177.1300048828125,79.1500015258789,185.67999267578125,326.20001220703125,60.209999084472656,180.25999450683594,79.43000030517578,188.9600067138672,312.510009765625,57.84000015258789,176.49000549316406,78.87000274658203,184.52999877929688,322.0,60.099998474121094,179.9199981689453,79.08999633789062,186.13999938964844,17798200,10989500,2737000,883900,2734000
2020-01-27,314.72747802734375,56.440460205078125,172.6057586669922,79.40296936035156,177.42556762695312,316.6000061035156,56.83000183105469,173.5399932861328,79.79000091552734,178.47000122070312,321.260009765625,57.18000030517578,175.33999633789062,79.94000244140625,183.9600067138672,314.5799865722656,55.619998931884766,173.47000122070312,78.05999755859375,178.3000030517578,316.2099914550781,56.4900016784668,174.27000427246094,78.38999938964844,182.02999877929688,7468100,13090200,2491500,732700,4183900
2020-01-28,314.6877136230469,57.086002349853516,174.5154266357422,79.99010467529297,178.58871459960938,316.55999755859375,57.47999954223633,175.4600067138672,80.37999725341797,179.63999938964844,319.3599853515625,57.970001220703125,176.75,80.58000183105469,181.67999267578125,314.0,56.75,173.24000549316406,79.52999877929688,179.4499969482422,318.04998779296875,57.54999923706055,174.1199951171875,79.86000061035156,180.27000427246094,5502200,6343700,2178400,632600,3264500
2020-01-29,320.1153869628906,56.26169204711914,174.7242889404297,80.04981994628906,180.7161865234375,322.0199890136719,56.650001525878906,175.6699981689453,80.44000244140625,181.77999877929688,327.17999267578125,57.79999923706055,177.74000549316406,80.77999877929688,184.27000427246094,319.1400146484375,56.56999969482422,175.6300048828125,79.7300033569336,180.44000244140625,324.3500061035156,57.63999938964844,177.0,80.44999694824219,181.60000610351562,12454700,5662000,2199000,475000,2270800
2020-01-30,321.3878173828125,56.70860290527344,177.37991333007812,80.5772476196289,181.9986572265625,323.29998779296875,57.099998474121094,178.33999633789062,80.97000122070312,183.07000732421875,325.3500061035156,57.18000030517578,178.77000427246094,81.06999969482422,183.5,317.6400146484375,55.650001525878906,173.8000030517578,79.97000122070312,179.00999450683594,320.5,55.650001525878906,173.8000030517578,80.23999786376953,179.6699981689453,6022000,5980700,3076100,254600,2994400
2020-01-31,316.3875732421875,55.35792922973633,172.2874755859375,79.9502944946289,178.37001037597656,318.2699890136719,55.7400016784668,173.22000122070312,80.33999633789062,179.4199981689453,321.92999267578125,57.08000183105469,177.91000366210938,81.30000305175781,182.47000122070312,316.989990234375,55.43000030517578,171.33999633789062,79.94999694824219,178.5,321.75,56.70000076293945,177.91000366210938,80.77999877929688,181.69000244140625,4999600,9320800,5500000,327900,3653700
